,CNTSCHID,Region,STRATUM,LANGTEST,PRIVATESCH,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG,W_SCHGRNRABWT,W_FSTUWT_SCH_SUM,SENWT
88,72400089,72413,ESP9026,156.0,public,3.0,12.8182,423.0,0.3614,1.0,33.0,1.0,1.0,,0.0303,28.0,1.0,1.2521,2.1075,0.7745,1.3115,0.9042,6.64306,570.92899,4.82446
89,72400090,72407,ESP9013,156.0,public,3.0,15.6909,863.0,0.6098,1.0,55.0,1.0,1.0,1.0,0.0545,28.0,2.0,2.9595,1.5598,-0.0384,0.2266,0.9042,4.1911,385.1309,3.04374
90,72400091,72404,ESP0408,156.0,private,1.0,1.2593,153.0,0.3922,1.0,121.5,0.4444,0.7078,0.0412,0.0,28.0,1.0,-1.4212,0.4487,-0.0384,-0.5111,0.9042,1.38532,208.25121,1.00607
91,72400092,72411,ESP9021,156.0,public,3.0,9.4215,570.0,0.1212,1.0,60.5,1.0,0.9835,0.0,0.0165,28.0,3.0,1.2478,1.5435,2.2443,1.7941,0.9042,5.52274,421.36976,4.01084
92,72400093,72403,ESP0305,156.0,public,3.0,8.0103,777.0,1.1321,1.0,97.0,1.0,0.9485,0.9485,0.0309,23.0,3.0,-0.4873,0.7429,0.8826,-0.1274,0.9042,2.65021,153.45651,1.92469
93,72400094,72410,ESP1019,156.0,public,3.0,9.2523,495.0,0.3774,1.0,53.5,1.0,,,,28.0,3.0,-0.4907,0.21,0.8153,0.2266,0.3009,3.25538,167.44497,2.36418
94,72400095,72411,ESP1121,474.0,public,3.0,5.05,101.0,2.3182,1.0,20.0,1.0,1.0,0.0,0.1,23.0,1.0,-0.6483,-1.4551,-0.4515,-2.0409,0.9042,9.46756,240.12832,6.87572
95,72400096,72414,ESP1431,156.0,private,2.0,19.4074,786.0,0.625,1.0,40.5,1.0,0.963,0.0247,0.0123,48.0,1.0,-0.2805,-0.1776,-0.9067,-0.4071,0.287,5.95672,287.76884,4.32601
96,72400097,72413,ESP9029,156.0,private,1.0,11.3237,1959.0,1.1811,1.0,173.0,1.0,0.9942,0.1156,0.0029,23.0,2.0,-1.4212,-1.4551,-1.5397,-0.8166,0.9042,1.62691,207.58734,1.18153
97,72400098,72403,ESP0305,156.0,public,3.0,6.2456,178.0,1.8333,1.0,28.5,1.0,1.0,0.193,0.0,13.0,2.0,1.2048,0.8242,0.1795,0.9355,-1.0542,6.81481,87.90292,4.94919
98,72400099,72411,ESP1121,474.0,public,3.0,12.4815,337.0,0.3509,1.0,27.0,0.0,0.0,0.0,0.0,23.0,2.0,0.3096,-0.4314,0.6405,-0.4788,0.9042,8.11505,414.4273,5.89348
99,72400100,72413,ESP9029,,private,,,,,,,,,,,,,,,,,,4.2054,151.29512,3.05413
100,72400101,72409,ESP9017,160.0,public,3.0,11.1448,808.0,1.0,1.0,72.5,,0.9655,0.069,0.1379,33.0,3.0,-1.4212,-1.4551,-0.7894,-0.1459,0.9042,12.14343,1562.62995,8.81904
101,72400102,72414,ESP1430,156.0,public,3.0,8.7018,248.0,1.0,1.0,28.5,1.0,0.5789,0.4211,0.0,13.0,1.0,0.4292,0.8371,-0.9664,-0.4415,-0.1661,7.77347,118.22421,5.6454
102,72400103,72413,ESP9025,156.0,public,3.0,13.1311,801.0,0.75,1.0,61.0,1.0,1.0,0.5082,0.0656,28.0,1.0,-1.4212,0.4613,0.1795,-2.0409,0.9042,3.36393,411.12117,2.44302
103,72400104,72416,ESP9035,156.0,public,3.0,10.2857,900.0,1.0,1.0,87.5,1.0,1.0,,,23.0,1.0,-0.3123,-0.2129,-0.3856,0.6479,0.287,3.64879,323.07444,2.6499
104,72400105,72403,ESP0305,156.0,public,3.0,9.9247,923.0,0.6,1.0,93.0,1.0,1.0,,0.043,23.0,1.0,-0.3123,-1.4551,-0.0956,-0.9033,0.9042,1.62626,117.41538,1.18106
105,72400106,72405,ESP0509,156.0,public,3.0,11.15,669.0,0.4583,1.0,60.0,0.0,0.0,0.0,0.0,28.0,2.0,0.108,0.4487,0.6482,0.2785,0.9042,3.1626,408.33791,2.29681
106,72400107,72407,ESP9013,156.0,public,3.0,9.1556,618.0,0.6,1.0,67.5,1.0,1.0,1.0,0.0148,23.0,3.0,1.2478,1.0815,0.1795,-0.1662,-1.0542,7.27512,358.20659,5.28348
107,72400108,72416,ESP9035,451.0,public,3.0,5.2143,146.0,1.0,1.0,28.0,1.0,1.0,1.0,0.0,18.0,2.0,-0.2805,0.8371,0.7638,0.1439,-1.0542,10.75274,85.20551,7.80907
108,72400109,72415,ESP1533,156.0,private,2.0,16.176,1011.0,0.975,1.0,62.5,1.0,0.808,0.192,0.0,28.0,0.0,-0.4413,0.8567,-0.1692,-0.1274,0.9042,1.45351,103.84866,1.05559
109,72400110,72403,ESP0305,156.0,public,3.0,7.6769,499.0,0.0,,65.0,1.0,,,,23.0,0.0,0.1,1.0815,0.8544,-0.7733,-0.1764,2.04444,156.88134,1.48476
110,72400111,72417,ESP1739,156.0,private,2.0,17.4038,905.0,0.5,1.0,52.0,1.0,1.0,0.1923,0.0,38.0,2.0,-1.4212,0.43,-0.9148,-0.9033,-0.6263,13.37948,897.42556,9.71671
111,72400112,72405,ESP9010,156.0,private,1.0,12.9873,513.0,0.8158,1.0,39.5,0.0,0.9747,0.0,0.0253,38.0,2.0,-0.056,-1.4551,-1.5397,-0.0094,0.9042,9.33248,368.06204,6.77762
112,72400113,72407,ESP9013,156.0,public,3.0,11.2486,973.0,0.625,1.0,86.5,1.0,0.9249,,0.0116,18.0,1.0,1.3065,2.1075,0.9325,0.2266,0.9042,7.27512,336.2924,5.28348
